Ссылка;Текст;Тип;Автор;Ссылка на автора;Дата;Лайков;Комментариев;Репостов;Переходов;Просмотров вики страницы;Просмотров;Лайков / Просмотров;Комментариев / Просмотров;Репостов / Просмотров;Переходов / Просмотров;Просмотров вики страницы / Просмотров поста
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;92;5.435%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;63;3;0;0;0;750;8.400%;0.400%;0.000%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;191;7;0;0;0;2394;7.978%;0.292%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;351;7.407%;0.285%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;232;4.741%;0.000%;0.431%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;290;6.897%;0.690%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;336;4.762%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;92;5.435%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;63;3;0;0;0;750;8.400%;0.400%;0.000%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;191;7;0;0;0;2394;7.978%;0.292%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;351;7.407%;0.285%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;232;4.741%;0.000%;0.431%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;290;6.897%;0.690%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;336;4.762%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;92;5.435%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;63;3;0;0;0;750;8.400%;0.400%;0.000%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;191;7;0;0;0;2394;7.978%;0.292%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;351;7.407%;0.285%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;232;4.741%;0.000%;0.431%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;290;6.897%;0.690%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;336;4.762%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;92;5.435%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;63;3;0;0;0;750;8.400%;0.400%;0.000%;0%;0%
https://vk.com/wall-68164411_114468;"Даже в боевых условиях человек остаётся человеком. Добро всегда найдёт себе место — даже на передовой.

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 24.07.2025;11;0;0;0;0;127;8.661%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114468;"Даже в боевых условиях человек остаётся человеком. Добро всегда найдёт себе место — даже на передовой.

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 24.07.2025;11;0;0;0;0;127;8.661%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114468;"Даже в боевых условиях человек остаётся человеком. Добро всегда найдёт себе место — даже на передовой.

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 24.07.2025;11;0;0;0;0;127;8.661%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114468;"Даже в боевых условиях человек остаётся человеком. Добро всегда найдёт себе место — даже на передовой.

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 24.07.2025;11;0;0;0;0;127;8.661%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114468;"Даже в боевых условиях человек остаётся человеком. Добро всегда найдёт себе место — даже на передовой.

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 24.07.2025;11;0;0;0;0;127;8.661%;0.000%;0.000%;0%;0%
